Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,Title,FamilySize,IsAlone,Fare_log
0,3,1,-0.5657364610748746,1,0,7.25,2,0,2,2,0,-0.8797405693934278
1,1,0,0.6638610320657843,1,0,71.2833,0,1,3,2,0,1.3612199269233833
1,3,0,-0.2583370877897099,0,0,7.925,2,0,1,1,1,-0.798539974052802
1,1,0,0.4333115021019107,1,0,53.1,2,1,3,2,0,1.0620380556287106
0,3,1,0.4333115021019107,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,1,-0.10463740114712752,0,0,8.4583,1,0,2,1,1,-0.7386163019798164
0,1,1,1.893458525206443,0,0,51.8625,2,1,2,1,1,1.038145562232327
0,3,1,-2.1027333275006983,3,1,21.075,2,0,0,5,0,0.13649913806595457
1,3,0,-0.1814872444684187,0,2,11.1333,2,0,3,3,0,-0.48145578049281285
1,2,0,-1.180535207645204,1,0,30.0708,0,0,3,2,0,0.4894379098126231
1,3,0,-1.949033640858116,1,1,16.7,2,1,1,3,0,-0.09156500424402261
1,1,0,2.200857898491608,0,0,26.55,2,1,1,1,1,0.36526093570402607
0,3,1,-0.719436147717457,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,1,0.7407108753870755,1,5,31.275,2,0,2,7,0,0.5286989276421437
0,3,0,-1.180535207645204,0,0,7.8542,2,0,1,1,1,-0.806763380796033
1,2,0,1.9703083685277343,0,0,16.0,2,0,3,1,1,-0.13322852057373055
0,3,1,-2.1027333275006983,4,1,29.125,1,0,0,6,0,0.457519539438721
1,2,1,-0.10463740114712752,0,0,13.0,2,0,2,1,1,-0.3336984726090332
0,3,0,0.12591212881674602,1,0,18.0,2,0,3,2,0,-0.01838583697289204
1,3,0,-0.10463740114712752,0,0,7.225,0,0,3,1,1,-0.8828741679067217
0,2,1,0.4333115021019107,0,0,26.0,2,0,2,1,1,0.3444394801955362
1,2,1,0.35646165878061953,0,0,13.0,2,1,2,1,1,-0.3336984726090332
1,3,0,-1.1036853643239128,0,0,8.0292,1,0,1,1,1,-0.7865550587251358
1,1,1,-0.10463740114712752,0,0,35.5,2,1,2,1,1,0.6557188297748954
0,3,0,-1.6416342675729512,3,1,21.075,2,0,1,5,0,0.13649913806595457
1,3,0,0.6638610320657843,1,5,31.3875,2,0,3,7,0,0.5322916934007406
0,3,1,-0.10463740114712752,0,0,7.225,0,0,2,1,1,-0.8828741679067217
0,1,1,-0.7962859910387481,3,2,263.0,2,1,2,6,0,2.6987007794454887
1,3,0,-0.10463740114712752,0,0,7.8792,1,0,1,1,1,-0.8038521494426432
0,3,1,-0.10463740114712752,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
0,1,1,0.8175607187083667,0,0,27.7208,0,0,4,1,1,0.4082334475616762
1,1,0,-0.10463740114712752,1,0,146.5208,0,1,3,2,0,2.097794920021772
1,3,0,-0.10463740114712752,0,0,7.75,1,0,1,1,1,-0.8189865811572414
0,2,1,2.8156566450619374,0,0,10.5,2,0,2,1,1,-0.5368057694182641
0,1,1,-0.10463740114712752,1,0,82.1708,0,0,2,2,0,1.5060857797883969
0,1,1,0.9712604053509489,1,0,52.0,2,0,2,2,0,1.0408277503255374
1,3,1,-0.10463740114712752,0,0,7.2292,0,0,2,1,1,-0.8823470582632056
0,3,1,-0.6425863043961658,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,0,-0.8731358343600393,2,0,18.0,2,0,1,3,0,-0.01838583697289204
1,3,0,-1.180535207645204,1,0,11.2417,0,0,1,2,0,-0.47227211715402734
0,3,0,0.8175607187083667,1,0,9.475,2,0,3,2,0,-0.6331972544104211
0,2,0,-0.1814872444684187,1,0,21.0,2,0,3,2,0,0.1329851701219792
0,3,1,-0.10463740114712752,0,0,7.8958,0,0,2,1,1,-0.8019236166026618
1,2,0,-2.025883484179407,1,2,41.5792,0,0,1,4,0,0.8147822510349934
1,3,0,-0.7962859910387481,0,0,7.8792,1,0,1,1,1,-0.8038521494426432
0,3,1,-0.10463740114712752,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,1,-0.10463740114712752,1,0,15.5,1,0,2,2,0,-0.16405229962564447
1,3,0,-0.10463740114712752,0,0,7.75,1,0,1,1,1,-0.8189865811572414
0,3,1,-0.10463740114712752,2,0,21.6792,0,0,2,3,0,0.1643797141666741
0,3,0,-0.8731358343600393,1,0,17.8,2,0,3,2,0,-0.0293120756270656
0,3,1,-1.7184841108942424,4,1,39.6875,2,0,0,6,0,0.7678594338107121
0,3,1,-0.6425863043961658,0,0,7.8,2,0,2,1,1,-0.8131032608653792
1,1,0,1.5092093085999871,1,0,76.7292,0,1,3,2,0,1.4362199751817062
1,2,0,-0.027787557825836348,1,0,26.0,2,0,3,2,0,0.3444394801955362
0,1,1,2.738806801740646,0,1,61.9792,0,1,2,2,0,1.2189504454470093
1,1,1,-0.10463740114712752,0,0,35.5,2,1,2,1,1,0.6557188297748954
1,2,0,-0.6425863043961658,0,0,10.5,2,0,1,1,1,-0.5368057694182641
0,3,1,-0.06621247948648194,0,0,7.2292,0,0,2,1,1,-0.8823470582632056
1,2,0,-1.8721837975368247,1,2,27.75,2,0,1,4,0,0.40928266156909443
0,3,1,-1.4110847376090776,5,2,46.9,2,0,0,8,0,0.936361092700485
0,3,1,-0.5657364610748746,0,0,7.2292,0,0,2,1,1,-0.8823470582632056
1,1,0,0.6638610320657843,0,0,80.0,2,1,1,1,1,1.4787785499834798
0,1,1,1.2018099353148226,1,0,83.475,2,1,2,2,0,1.5221510751129648
0,3,1,-1.949033640858116,3,2,27.9,2,0,0,6,0,0.4146557174979072
0,1,1,-0.10463740114712752,0,0,27.7208,0,0,2,1,1,0.4082334475616762
1,3,1,-0.10463740114712752,1,1,15.2458,0,0,0,3,0,-0.1800831698720664
1,2,0,-0.027787557825836348,0,0,10.5,2,1,3,1,1,-0.5368057694182641
0,3,1,-0.7962859910387481,0,0,8.1583,2,0,2,1,1,-0.7718965778779472
1,3,0,-0.9499856776813305,4,2,7.925,2,0,1,7,0,-0.798539974052802
0,3,1,-0.2583370877897099,2,0,8.6625,2,0,2,3,0,-0.7165619336211217
0,2,1,0.20276197213803718,0,0,10.5,2,0,2,1,1,-0.5368057694182641
0,3,0,-1.0268355210026217,5,2,46.9,2,0,1,8,0,0.936361092700485
0,2,1,-0.6425863043961658,0,0,73.5,2,0,2,1,1,1.3924082286355355
0,3,1,-0.2583370877897099,1,0,14.4542,0,0,2,2,0,-0.23166125968823223
1,3,1,0.20276197213803718,0,0,56.4958,2,0,2,1,1,1.1248955097361595
0,3,1,-0.33518693111100106,0,0,7.65,2,1,2,1,1,-0.830854756854953
0,3,1,-0.10463740114712752,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
0,3,1,-0.10463740114712752,0,0,8.05,2,0,2,1,1,-0.7841792430073967
1,2,1,-2.192647644186609,0,2,29.0,2,0,0,3,0,0.4532263111425748
1,3,0,0.04906228549545483,0,0,12.475,2,0,1,1,1,-0.37316263612134226
0,3,1,-0.5657364610748746,0,0,9.0,2,0,2,1,1,-0.6811127586453682
1,3,1,-0.027787557825836348,0,0,9.5,2,0,2,1,1,-0.6307359423566569
1,3,0,-0.10463740114712752,0,0,7.7875,1,0,1,1,1,-0.8145709511162281
0,1,1,-0.10463740114712752,0,0,47.1,2,0,2,1,1,0.940663265248102
1,2,0,-0.9499856776813305,0,0,10.5,2,0,1,1,1,-0.5368057694182641
1,3,0,0.27961181545932834,3,0,15.85,2,0,3,4,0,-0.1423794216910609
0,3,1,-1.0268355210026217,1,3,34.375,2,0,2,5,0,0.6233938271906204
0,3,1,-0.10463740114712752,0,0,8.05,2,0,2,1,1,-0.7841792430073967
1,1,0,-0.48888661775358344,3,2,263.0,2,1,1,6,0,2.6987007794454887
0,3,1,-0.41203677443229225,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,1,-0.027787557825836348,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,1,-0.719436147717457,0,0,7.8542,2,0,2,1,1,-0.806763380796033
0,1,1,1.2786597786361138,1,0,61.175,2,1,2,2,0,1.2056809915054134
0,3,1,-0.2583370877897099,1,2,20.575,2,0,2,4,0,0.11284358066326507
0,3,1,2.277707741812899,0,0,7.25,2,0,2,1,1,-0.8797405693934278
0,3,1,-0.10463740114712752,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,1,1,3.1999058616683933,0,0,34.6542,0,1,2,1,1,0.6315110816648204
1,1,1,-0.48888661775358344,0,1,63.3583,0,1,2,2,0,1.241316266924983
1,2,0,0.35646165878061953,0,1,23.0,2,0,3,2,0,0.2228261499229997
0,2,1,0.35646165878061953,1,0,26.0,2,0,2,2,0,0.3444394801955362
0,3,0,-0.10463740114712752,0,0,7.8958,2,0,1,1,1,-0.8019236166026618
0,3,1,-0.10463740114712752,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
0,1,1,-0.6425863043961658,0,1,77.2875,2,1,2,2,0,1.443609675522841
0,3,1,0.27961181545932834,0,0,8.6542,2,0,2,1,1,-0.7174492400289059
0,3,1,0.5870111887444931,2,0,7.925,2,0,2,3,0,-0.798539974052802
0,3,1,-0.10463740114712752,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
1,3,0,-0.6425863043961658,0,0,7.65,2,0,1,1,1,-0.830854756854953
1,3,1,-0.10463740114712752,0,0,7.775,2,0,2,1,1,-0.8160407306065733
0,3,1,0.6638610320657843,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
1,3,0,-0.10463740114712752,1,0,24.15,1,0,1,2,0,0.2711522804976662
0,1,1,1.3555096219574048,0,0,52.0,2,1,2,1,1,1.0408277503255374
0,3,0,-1.1421102859845584,1,0,14.4542,0,0,1,2,0,-0.23166125968823223
0,3,1,-0.5657364610748746,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,0,-0.719436147717457,1,0,9.825,2,0,1,2,0,-0.5992616204389827
0,3,0,-0.9499856776813305,0,0,14.4583,0,0,1,1,1,-0.23138736843472296
0,3,1,-0.6425863043961658,0,0,7.925,2,0,2,1,1,-0.798539974052802
0,3,1,3.1614809400077477,0,0,7.75,1,0,2,1,1,-0.8189865811572414
0,2,1,-0.027787557825836348,1,0,21.0,2,0,2,2,0,0.1329851701219792
0,1,1,-0.41203677443229225,0,1,247.5208,0,1,2,2,0,2.6363132839087284
0,3,0,-2.1027333275006983,4,2,31.275,2,0,1,7,0,0.5286989276421437
0,2,1,-0.6425863043961658,2,0,73.5,2,0,2,3,0,1.3924082286355355
0,3,1,-0.10463740114712752,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,2,1,0.24118689379868277,1,0,30.0708,0,0,2,2,0,0.4894379098126231
1,2,0,0.24118689379868277,0,0,13.0,2,1,1,1,1,-0.3336984726090332
0,1,1,1.893458525206443,0,1,77.2875,2,1,2,2,0,1.443609675522841
1,3,1,-1.3342348942877864,1,0,11.2417,0,0,0,2,0,-0.47227211715402734
0,3,1,-0.10463740114712752,0,0,7.75,1,0,2,1,1,-0.8189865811572414
1,3,1,-0.41203677443229225,0,0,7.1417,2,0,2,1,1,-0.8933844909173265
1,3,0,-0.10463740114712752,1,1,22.3583,0,1,1,3,0,0.19484336402527688
0,3,1,1.2018099353148226,0,0,6.975,2,0,2,1,1,-0.9147445967366699
0,3,1,0.27961181545932834,0,0,7.8958,0,0,2,1,1,-0.8019236166026618
0,3,1,-0.719436147717457,0,0,7.05,2,0,2,1,1,-0.9050797531497122
0,3,0,1.3555096219574048,1,0,14.5,2,0,3,2,0,-0.2286058134653583
1,2,0,-0.027787557825836348,1,0,26.0,2,0,3,2,0,0.3444394801955362
0,2,1,-0.33518693111100106,0,0,13.0,2,0,2,1,1,-0.3336984726090332
0,2,1,-0.48888661775358344,0,0,15.0458,0,0,2,1,1,-0.19287328396337328
1,1,0,-0.7962859910387481,0,2,26.2833,2,1,1,3,0,0.3552168481314282
0,1,1,0.5870111887444931,1,0,53.1,2,1,2,2,0,1.0620380556287106
0,3,1,-1.0268355210026217,0,0,9.2167,2,0,2,1,1,-0.6589770356240848
0,1,1,-0.41203677443229225,0,0,79.2,0,1,2,1,1,1.4685301291949246
0,3,0,-0.10463740114712752,0,2,15.2458,0,0,3,3,0,-0.1800831698720664
1,3,0,-0.5657364610748746,0,0,7.75,2,0,1,1,1,-0.8189865811572414
1,3,0,-0.41203677443229225,1,0,15.85,2,0,3,2,0,-0.1423794216910609
0,3,1,-0.7962859910387481,0,0,6.75,1,0,2,1,1,-0.9442940832331417
0,2,1,-0.8731358343600393,0,0,11.5,2,0,2,1,1,-0.4507125974257932
0,2,1,-0.7962859910387481,1,1,36.75,2,0,2,3,0,0.6904870950626278
1,3,1,-0.1814872444684187,0,0,7.7958,2,0,2,1,1,-0.8135961720983267
0,3,0,-1.56478442425166,2,2,34.375,2,0,1,5,0,0.6233938271906204
0,2,1,0.5485862670838475,0,2,26.0,2,1,2,3,0,0.3444394801955362
0,2,1,0.9712604053509489,0,0,13.0,2,0,4,1,1,-0.3336984726090332
0,2,1,1.6629089952425695,0,0,12.525,2,0,4,1,1,-0.3693384839068557
1,1,0,-0.5657364610748746,1,0,66.6,2,1,3,2,0,1.2920564383571118
0,3,1,2.00873329018838,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,1,0.8559856403690123,0,2,14.5,2,0,2,3,0,-0.2286058134653583
0,3,1,-0.10463740114712752,0,0,7.3125,2,0,2,1,1,-0.8719479292525482
0,1,1,1.6629089952425695,0,1,61.3792,0,0,2,2,0,1.2090665177433995
1,3,0,-1.0268355210026217,0,0,7.7333,1,0,1,1,1,-0.8209591021193487
0,3,1,0.04906228549545483,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,1,-0.10463740114712752,0,0,8.6625,2,0,2,1,1,-0.7165619336211217
0,3,1,-0.10463740114712752,8,2,69.55,2,0,0,11,0,1.3361591794576348
0,3,1,1.1249600919935314,0,1,16.1,2,0,2,2,0,-0.12717266791993012
1,2,0,0.8175607187083667,0,0,15.75,2,0,3,1,1,-0.1485253917280838
0,3,1,-0.2583370877897099,0,0,7.775,2,0,2,1,1,-0.8160407306065733
0,3,1,-0.9499856776813305,0,0,8.6625,2,0,2,1,1,-0.7165619336211217
0,3,1,-2.1795831708219895,4,1,39.6875,2,0,0,6,0,0.7678594338107121
1,3,1,-1.56478442425166,0,2,20.525,2,0,0,3,0,0.11044794172866994
1,1,0,-0.10463740114712752,0,1,55.0,2,1,3,2,0,1.0976780669265336
0,3,0,1.2018099353148226,1,4,27.9,2,0,3,6,0,0.4146557174979072
0,1,1,-0.10463740114712752,0,0,25.925,2,0,2,1,1,0.34156737843370105
0,3,1,-0.10463740114712752,0,0,56.4958,2,0,2,1,1,1.1248955097361595
0,1,1,2.4314074284554814,0,0,33.5,2,1,2,1,1,0.5975333003696796
0,3,1,-1.949033640858116,4,1,29.125,1,0,0,6,0,0.457519539438721
1,3,0,-2.1795831708219895,1,1,11.1333,2,0,1,3,0,-0.48145578049281285
0,3,1,-0.6425863043961658,0,0,7.925,2,0,2,1,1,-0.798539974052802
0,1,1,2.0471582118490255,0,0,30.6958,0,1,2,1,1,0.5100012756239033
0,3,1,-0.8731358343600393,1,1,7.8542,2,0,2,3,0,-0.806763380796033
0,3,1,-0.10463740114712752,3,1,25.4667,2,0,0,5,0,0.32384119624754826
0,1,0,1.5860591519212783,0,0,28.7125,0,1,1,1,1,0.4432836100273541
0,2,1,0.04906228549545483,0,0,13.0,2,0,2,1,1,-0.3336984726090332
0,3,1,0.5101613454232019,0,0,0.0,2,0,2,1,1,-3.0585777291682934
0,3,0,-0.10463740114712752,8,2,69.55,2,0,1,11,0,1.3361591794576348
0,2,1,-0.10463740114712752,0,0,15.05,0,0,2,1,1,-0.19260305647698941
0,3,1,-1.56478442425166,4,2,31.3875,2,0,0,7,0,0.5322916934007406
1,2,1,-2.1795831708219895,2,1,39.0,2,1,0,4,0,0.750263780890198
1,3,0,-1.949033640858116,0,2,22.025,2,0,1,3,0,0.1800041951014629
0,1,1,-0.10463740114712752,0,0,50.0,2,1,2,1,1,1.0011105492142125
1,3,0,-0.10463740114712752,1,0,15.5,1,0,3,2,0,-0.16405229962564447
1,1,1,1.2018099353148226,0,0,26.55,2,0,2,1,1,0.36526093570402607
0,3,1,0.8175607187083667,1,1,15.5,1,0,2,3,0,-0.16405229962564447
0,3,1,0.5101613454232019,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
1,2,0,0.20276197213803718,0,0,13.0,2,0,3,1,1,-0.3336984726090332
0,2,1,-0.7962859910387481,0,0,13.0,2,0,2,1,1,-0.3336984726090332
1,3,0,-0.7962859910387481,1,0,7.8542,2,0,1,2,0,-0.806763380796033
1,2,1,-2.025883484179407,1,1,26.0,2,1,0,3,0,0.3444394801955362
1,1,0,1.1249600919935314,0,0,27.7208,0,1,3,1,1,0.4082334475616762
1,1,0,2.200857898491608,0,0,146.5208,0,1,1,1,1,2.097794920021772
0,3,1,-0.10463740114712752,0,0,7.75,1,0,2,1,1,-0.8189865811572414
0,3,1,0.9712604053509489,0,1,8.4042,2,0,2,2,0,-0.7445391097425902
1,3,0,-0.10463740114712752,0,0,7.75,1,0,1,1,1,-0.8189865811572414
0,2,0,-0.41203677443229225,0,0,13.0,2,0,1,1,1,-0.3336984726090332
0,3,1,-0.10463740114712752,0,0,9.5,2,0,2,1,1,-0.6307359423566569
0,3,1,-0.10463740114712752,8,2,69.55,2,0,2,11,0,1.3361591794576348
0,3,1,0.35646165878061953,0,0,6.4958,2,0,2,1,1,-0.9787286015064478
0,3,1,1.2402348569754682,0,0,7.225,0,0,2,1,1,-0.8828741679067217
1,3,1,-0.8731358343600393,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,0,-2.1027333275006983,0,1,10.4625,2,1,1,2,0,-0.5401781836878246
0,3,1,0.20276197213803718,1,0,15.85,2,0,2,2,0,-0.1423794216910609
1,3,1,-0.2583370877897099,0,0,18.7875,0,0,2,1,1,0.023546289947323752
1,3,0,-1.0268355210026217,0,0,7.75,1,0,1,1,1,-0.8189865811572414
1,1,1,0.8175607187083667,0,0,31.0,0,1,2,1,1,0.5198636196706229
0,3,1,-0.41203677443229225,0,0,7.05,2,0,2,1,1,-0.9050797531497122
1,2,0,0.4333115021019107,0,0,21.0,2,0,1,1,1,0.1329851701219792
0,3,1,-0.5657364610748746,0,0,7.25,2,0,2,1,1,-0.8797405693934278
0,2,1,0.04906228549545483,0,0,13.0,2,0,2,1,1,-0.3336984726090332
0,3,1,-0.10463740114712752,1,0,7.75,1,0,2,2,0,-0.8189865811572414
1,1,0,0.12591212881674602,1,0,113.275,0,1,1,2,0,1.834129231109428
1,3,0,-0.1814872444684187,0,0,7.925,2,0,1,1,1,-0.798539974052802
0,2,1,0.9712604053509489,1,0,27.0,2,0,2,2,0,0.3819897971587497
1,1,0,0.20276197213803718,0,0,76.2917,0,1,1,1,1,1.4303920040723752
0,2,1,0.04906228549545483,0,0,10.5,2,0,2,1,1,-0.5368057694182641
1,3,1,-1.0268355210026217,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,2,1,-0.1814872444684187,0,0,13.0,2,0,2,1,1,-0.3336984726090332
0,3,1,1.6629089952425695,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,3,1,-0.10463740114712752,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
1,1,1,0.6638610320657843,1,0,90.0,2,1,2,2,0,1.5989745568795648
0,3,1,-0.5657364610748746,0,0,9.35,2,0,2,1,1,-0.6455926003653025
1,2,1,-0.7962859910387481,0,0,10.5,2,0,2,1,1,-0.5368057694182641
0,3,1,-0.6810112260568114,0,0,7.25,2,0,2,1,1,-0.8797405693934278
0,2,1,-0.8731358343600393,0,0,13.0,2,0,2,1,1,-0.3336984726090332
0,3,0,-0.10463740114712752,3,1,25.4667,2,0,1,5,0,0.32384119624754826
1,1,0,0.4333115021019107,1,0,83.475,2,1,3,2,0,1.5221510751129648
0,3,1,-0.027787557825836348,0,0,7.775,2,0,2,1,1,-0.8160407306065733
0,2,1,2.277707741812899,0,0,13.5,2,0,2,1,1,-0.29746598596845064
1,3,0,-1.8721837975368247,4,2,31.3875,2,0,1,7,0,0.5322916934007406
0,2,1,-0.41203677443229225,0,0,10.5,2,0,2,1,1,-0.5368057694182641
0,3,0,-0.10463740114712752,0,0,7.55,2,0,1,1,1,-0.8428609376877135
0,2,1,1.1249600919935314,1,0,26.0,2,0,2,2,0,0.3444394801955362
1,2,0,-1.6416342675729512,0,2,26.25,2,0,1,3,0,0.35395586016517094
0,2,1,-0.7962859910387481,0,0,10.5,2,0,2,1,1,-0.5368057694182641
0,2,1,0.27961181545932834,0,0,12.275,2,0,2,1,1,-0.3886024739916458
0,3,0,-0.10463740114712752,1,0,14.4542,0,0,1,2,0,-0.23166125968823223
1,3,0,-0.10463740114712752,1,0,15.5,1,0,1,2,0,-0.16405229962564447
0,2,1,-0.027787557825836348,0,0,10.5,2,0,2,1,1,-0.5368057694182641
0,3,1,-0.5657364610748746,0,0,7.125,2,0,2,1,1,-0.8955045384601199
0,3,1,0.04906228549545483,0,0,7.225,0,0,2,1,1,-0.8828741679067217
0,1,1,1.1249600919935314,2,0,90.0,1,1,4,3,0,1.5989745568795648
0,3,0,-0.33518693111100106,0,0,7.775,2,0,1,1,1,-0.8160407306065733
1,2,0,-0.41203677443229225,0,2,14.5,2,0,3,3,0,-0.2286058134653583
1,1,1,0.5870111887444931,1,1,52.5542,2,1,2,3,0,1.0515683442816504
0,2,1,1.893458525206443,1,0,26.0,2,0,4,2,0,0.3444394801955362
0,3,1,-0.10463740114712752,0,0,7.25,2,0,2,1,1,-0.8797405693934278
0,3,0,-0.027787557825836348,1,1,10.4625,2,1,3,3,0,-0.5401781836878246
0,1,1,2.5082572717767726,0,0,26.55,2,1,2,1,1,0.36526093570402607
0,3,1,0.04906228549545483,1,0,16.1,2,0,2,2,0,-0.12717266791993012
0,3,0,0.8944105620296577,0,2,20.2125,2,0,3,3,0,0.09534793704965058
1,3,0,-0.027787557825836348,0,2,15.2458,0,0,3,3,0,-0.1800831698720664
1,1,0,-0.10463740114712752,0,0,79.2,0,0,3,1,1,1.4685301291949246
1,1,0,0.04906228549545483,0,0,86.5,2,1,1,1,1,1.5584783893656837
1,1,0,0.4333115021019107,0,0,512.3292,0,0,1,1,1,3.3852937438182273
1,2,0,1.5860591519212783,0,1,26.0,2,0,3,2,0,0.3444394801955362
0,3,1,-0.10463740114712752,0,0,7.75,1,0,2,1,1,-0.8189865811572414
1,3,1,-2.025883484179407,4,2,31.3875,2,0,0,7,0,0.5322916934007406
0,1,1,1.7397588385638607,1,1,79.65,2,1,2,3,0,1.4743073772537167
0,1,1,0.8175607187083667,0,0,0.0,2,1,2,1,1,-3.0585777291682934
0,3,0,-0.10463740114712752,0,0,7.75,1,0,1,1,1,-0.8189865811572414
0,2,1,0.5101613454232019,0,0,10.5,2,0,2,1,1,-0.5368057694182641
0,3,1,-1.0268355210026217,4,1,39.6875,2,0,2,6,0,0.7678594338107121
1,3,1,-0.33518693111100106,1,0,7.775,2,0,2,2,0,-0.8160407306065733
1,1,0,2.200857898491608,0,1,153.4625,2,1,3,2,0,2.14527242190355
1,1,0,0.4333115021019107,0,0,135.6333,2,1,1,1,1,2.0186331792044068
0,1,1,-0.10463740114712752,0,0,31.0,2,0,2,1,1,0.5198636196706229
1,3,1,-0.33518693111100106,0,0,0.0,2,0,2,1,1,-3.0585777291682934
1,2,0,0.8944105620296577,0,1,19.5,2,0,3,2,0,0.06007112543995847
0,1,1,0.5870111887444931,0,1,29.7,0,1,2,2,0,0.4770416648490861
1,3,0,-0.10463740114712752,0,0,7.75,1,0,1,1,1,-0.8189865811572414
1,1,0,2.585107115098064,1,0,77.9583,2,1,1,2,0,1.452419049919151
0,3,0,1.2018099353148226,0,0,7.75,2,0,1,1,1,-0.8189865811572414
0,2,1,-0.10463740114712752,0,0,0.0,2,0,2,1,1,-3.0585777291682934
0,3,1,-1.7184841108942424,4,1,29.125,1,0,0,6,0,0.457519539438721
1,3,0,0.4333115021019107,1,1,20.25,2,0,3,3,0,0.0971716406458445
0,3,1,2.738806801740646,0,0,7.75,1,0,2,1,1,-0.8189865811572414
0,3,1,-0.10463740114712752,0,0,7.8542,2,0,2,1,1,-0.806763380796033
0,3,1,-1.0268355210026217,0,0,9.5,2,0,2,1,1,-0.6307359423566569
1,3,1,-0.7962859910387481,0,0,8.05,2,0,2,1,1,-0.7841792430073967
0,1,1,-0.10463740114712752,0,0,26.0,2,1,2,1,1,0.3444394801955362
0,3,1,0.27961181545932834,0,0,8.6625,0,0,2,1,1,-0.7165619336211217
1,3,1,0.04906228549545483,0,0,9.5,2,0,2,1,1,-0.6307359423566569
0,3,1,-0.5657364610748746,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
1,2,1,0.9712604053509489,0,0,13.0,2,0,2,1,1,-0.3336984726090332
1,3,0,-0.5657364610748746,0,0,7.75,1,0,1,1,1,-0.8189865811572414
1,1,0,-0.2583370877897099,0,0,78.85,2,0,1,1,1,1.464014258564117
1,1,0,-0.7962859910387481,1,0,91.0792,0,1,3,2,0,1.6111475224786775
0,2,1,0.5101613454232019,0,0,12.875,0,1,2,1,1,-0.3429588030007618
0,3,0,-0.41203677443229225,0,0,8.85,2,0,1,1,1,-0.6967178907118832
0,3,1,-0.41203677443229225,0,0,7.8958,2,0,2,1,1,-0.8019236166026618
